Unidade;Item;Quantidade;Data Início;Data Fim;Período;Mês;Origem;Arquivo/Referência
Cohab/Cohatrac;CANETA PRETA;5;2026-06-09;2026-06-09;09/06 a 09/06/2026;2026-06;Histórico/Planilha;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;CHAMEX;1;2026-04-14;2026-04-14;14/04 a 14/04/2026;2026-04;Histórico/Planilha;CT COHAB  (2).xlsx
Cohab/Cohatrac;CLIPS 04;1;2026-04-14;2026-04-14;14/04 a 14/04/2026;2026-04;Histórico/Planilha;CT COHAB  (2).xlsx
Cohab/Cohatrac;CLIPS 08;1;2026-04-14;2026-04-14;14/04 a 14/04/2026;2026-04;Histórico/Planilha;CT COHAB  (2).xlsx
Cohab/Cohatrac;CLIPS Nº 4/0;1;2026-05-26;2026-05-26;26/05 a 26/05/2026;2026-05;Histórico/Planilha;CT COHAB  (1).xlsx
Cohab/Cohatrac;CLIPS Nº 4/0;1;2026-06-09;2026-06-09;09/06 a 09/06/2026;2026-06;Histórico/Planilha;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;CLIPS Nº 4/0;1;2026-06-22;2026-06-22;22/06 a 22/06/2026;2026-06;Histórico/Planilha;CT COHAB MATERIAL DE EXPEDIENTE Entrega 22 de junho de 2026.xlsx
Cohab/Cohatrac;CLIPS Nº 8/0;1;2026-04-23;2026-04-23;23/04 a 23/04/2026;2026-04;Histórico/Planilha;CT COHAB ).xlsx
Cohab/Cohatrac;CLIPS Nº 8/0;1;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT COHAB .xlsx
Cohab/Cohatrac;CLIPS Nº 8/0;1;2026-06-09;2026-06-09;09/06 a 09/06/2026;2026-06;Histórico/Planilha;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;CLIPS Nº 8/0;1;2026-06-22;2026-06-22;22/06 a 22/06/2026;2026-06;Histórico/Planilha;CT COHAB MATERIAL DE EXPEDIENTE Entrega 22 de junho de 2026.xlsx
Cohab/Cohatrac;CORRETIVO;1;2026-04-14;2026-04-14;14/04 a 14/04/2026;2026-04;Histórico/Planilha;CT COHAB  (2).xlsx
Cohab/Cohatrac;CORRETIVO;1;2026-04-23;2026-04-23;23/04 a 23/04/2026;2026-04;Histórico/Planilha;CT COHAB ).xlsx
Cohab/Cohatrac;CORRETIVO;2;2026-06-09;2026-06-09;09/06 a 09/06/2026;2026-06;Histórico/Planilha;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;CORRETIVO;2;2026-06-22;2026-06-22;22/06 a 22/06/2026;2026-06;Histórico/Planilha;CT COHAB MATERIAL DE EXPEDIENTE Entrega 22 de junho de 2026.xlsx
Cohab/Cohatrac;ESCARCELA;3;2026-04-14;2026-04-14;14/04 a 14/04/2026;2026-04;Histórico/Planilha;CT COHAB  (2).xlsx
Cohab/Cohatrac;ESCARCELA;2;2026-06-09;2026-06-09;09/06 a 09/06/2026;2026-06;Histórico/Planilha;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;ESCARCELA;2;2026-06-22;2026-06-22;22/06 a 22/06/2026;2026-06;Histórico/Planilha;CT COHAB MATERIAL DE EXPEDIENTE Entrega 22 de junho de 2026.xlsx
Cohab/Cohatrac;FITA DUREX;1;2026-04-23;2026-04-23;23/04 a 23/04/2026;2026-04;Histórico/Planilha;CT COHAB ).xlsx
Cohab/Cohatrac;FITA DUREX;1;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT COHAB .xlsx
Cohab/Cohatrac;FITA DUREX;1;2026-06-22;2026-06-22;22/06 a 22/06/2026;2026-06;Histórico/Planilha;CT COHAB MATERIAL DE EXPEDIENTE Entrega 22 de junho de 2026.xlsx
Cohab/Cohatrac;GRAMPEADOR;1;2026-04-23;2026-04-23;23/04 a 23/04/2026;2026-04;Histórico/Planilha;CT COHAB ).xlsx
Cohab/Cohatrac;GRAMPEADOR;1;2026-06-09;2026-06-09;09/06 a 09/06/2026;2026-06;Histórico/Planilha;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;GRAMPO;1;2026-06-09;2026-06-09;09/06 a 09/06/2026;2026-06;Histórico/Planilha;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;MARCADOR DE TEXTO;3;2026-04-14;2026-04-14;14/04 a 14/04/2026;2026-04;Histórico/Planilha;CT COHAB  (2).xlsx
Cohab/Cohatrac;MARCADOR DE TEXTO;2;2026-06-09;2026-06-09;09/06 a 09/06/2026;2026-06;Histórico/Planilha;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;MARCADOR DE TEXTO;2;2026-06-22;2026-06-22;22/06 a 22/06/2026;2026-06;Histórico/Planilha;CT COHAB MATERIAL DE EXPEDIENTE Entrega 22 de junho de 2026.xlsx
Cohab/Cohatrac;RESMA DE PAPEL A4;1;2026-04-23;2026-04-23;23/04 a 23/04/2026;2026-04;Histórico/Planilha;CT COHAB ).xlsx
Cohab/Cohatrac;RESMA DE PAPEL A4;1;2026-04-28;2026-04-28;28/04 a 28/04/2026;2026-04;Histórico/Planilha;CT COHAB .xlsx
Cohab/Cohatrac;RESMA DE PAPEL A4;1;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT COHAB .xlsx
Cohab/Cohatrac;RESMA DE PAPEL A4;1;2026-05-26;2026-05-26;26/05 a 26/05/2026;2026-05;Histórico/Planilha;CT COHAB  (1).xlsx
Cohab/Cohatrac;RESMA DE PAPEL A4;1;2026-06-09;2026-06-09;09/06 a 09/06/2026;2026-06;Histórico/Planilha;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;RESMA DE PAPEL A4;1;2026-06-22;2026-06-22;22/06 a 22/06/2026;2026-06;Histórico/Planilha;CT COHAB MATERIAL DE EXPEDIENTE Entrega 22 de junho de 2026.xlsx
Cohab/Cohatrac;RESMA DE PAPEL A4;1;2026-07-01;2026-07-01;01/07 a 01/07/2026;2026-07;Histórico/Planilha;CT COHAB .xlsx
Cohab/Cohatrac;RESMA DE PAPEL A4;1;2026-07-07;2026-07-07;07/07 a 07/07/2026;2026-07;Histórico/Planilha;CT COHAB .xlsx
