Conselho Tutelar;Item;Quantidade;Data (AAAA-MM-DD);Data (DD/MM/AAAA);Período;Mês;Arquivo
Coroadinho/João Paulo;MARCA-TEXTO;2;2026-06-24;24/06/2026;24/06 a 24/06/2026;2026-06;CT COROADINHO Entrega dia 24 de junho de 2026.ods
Coroadinho/João Paulo;MARCA-TEXTO;2;2026-07-02;02/07/2026;02/07 a 02/07/2026;2026-07;CT COROADINHO.ods
Coroadinho/João Paulo;PAPEL A4;1;2026-01-01;01/01/2026;? (sem data);2026-01;CT COROADINHO.pdf
Coroadinho/João Paulo;RESMA DE PAPEL A4;1;2026-05-06;06/05/2026;06/05 a 06/05/2026;2026-05;CT COROADINHO .ods
Coroadinho/João Paulo;RESMA DE PAPEL A4;1;2026-05-13;13/05/2026;13/05 a 13/05/2026;2026-05;CT COROADINHO .ods
Coroadinho/João Paulo;RESMA DE PAPEL A4;1;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT COROADINHO (2).ods
Coroadinho/João Paulo;RESMA DE PAPEL A4;1;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT COROADINHO JOÃO PAULO 10 de JUNHO de 2026 GERAL.ods
Coroadinho/João Paulo;RESMA DE PAPEL A4;1;2026-06-24;24/06/2026;24/06 a 24/06/2026;2026-06;CT COROADINHO Entrega dia 24 de junho de 2026.ods
Coroadinho/João Paulo;RESMA DE PAPEL A4;1;2026-07-02;02/07/2026;02/07 a 02/07/2026;2026-07;CT COROADINHO.ods
Itaqui-Bacanga;ALMODADA CARIMBO;1;2026-04-15;15/04/2026;15/04 a 15/04/2026;2026-04;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;BORRACHA;6;2026-05-25;25/05/2026;25/05 a 25/05/2026;2026-05;CT BACANGA.xlsx
Itaqui-Bacanga;BORRACHA;2;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;BORRACHA;3;2026-06-18;18/06/2026;18/06 a 18/06/2026;2026-06;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;BORRACHA;6;2026-07-03;03/07/2026;03/07 a 03/07/2026;2026-07;CT BACANGA .xlsx
Itaqui-Bacanga;CANETA AZUL;5;2026-01-01;01/01/2026;? (sem data);2026-01;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;CANETA AZUL;5;2026-04-15;15/04/2026;15/04 a 15/04/2026;2026-04;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;CANETA AZUL;5;2026-05-25;25/05/2026;25/05 a 25/05/2026;2026-05;CT BACANGA.xlsx
Itaqui-Bacanga;CANETA AZUL;5;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;CANETA AZUL;5;2026-06-18;18/06/2026;18/06 a 18/06/2026;2026-06;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;CANETA MARCADORA;5;2026-05-25;25/05/2026;25/05 a 25/05/2026;2026-05;CT BACANGA.xlsx
Itaqui-Bacanga;CANETA MARCADORA;1;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;CANETA MARCADORA;5;2026-06-18;18/06/2026;18/06 a 18/06/2026;2026-06;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;CANETA MARCADORA;2;2026-07-03;03/07/2026;03/07 a 03/07/2026;2026-07;CT BACANGA .xlsx
Itaqui-Bacanga;CANETA PRETA;5;2026-01-01;01/01/2026;? (sem data);2026-01;CT ITAQUI BAGANGA (2).xlsx
